id,date,amount,isExpense,category
1,2024-01-01,22,1,Shopping
2,2024-01-02,15,1,Other Expense
3,2024-01-02,60,1,Housing
4,2024-01-03,250,1,Entertainment
5,2024-01-03,120,1,Healthcare
6,2024-01-05,22,1,Food
7,2024-01-05,90,1,Transport
8,2024-01-06,250,1,Shopping
9,2024-01-06,250,1,Other Expense
10,2024-01-07,22,1,Housing
11,2024-01-08,60,1,Entertainment
12,2024-01-09,1245,1,Healthcare
13,2024-01-09,530,1,Food
14,2024-01-09,15,1,Transport
15,2024-01-10,18,1,Shopping
16,2024-01-11,30,1,Other Expense
17,2024-01-11,30,1,Housing
18,2024-01-12,180,1,Entertainment
19,2024-01-12,60,1,Healthcare
20,2024-01-12,890,1,Food
21,2024-01-13,75,1,Transport
22,2024-01-13,8,1,Shopping
23,2024-01-14,180,1,Other Expense
24,2024-01-14,8,1,Housing
25,2024-01-15,4150,0,Bonus
26,2024-01-15,680,1,Healthcare
27,2024-01-15,45,1,Food
28,2024-01-16,30,1,Transport
29,2024-01-17,22,1,Shopping
30,2024-01-18,12,1,Other Expense
31,2024-01-18,400,1,Housing
32,2024-01-19,60,1,Entertainment
33,2024-01-19,250,1,Healthcare
34,2024-01-19,75,1,Food
35,2024-01-20,90,1,Transport
36,2024-01-20,12,1,Shopping
37,2024-01-21,322,1,Other Expense
38,2024-01-21,650,1,Housing
39,2024-01-22,180,1,Entertainment
40,2024-01-22,15,1,Healthcare
41,2024-01-22,90,1,Food
42,2024-01-23,22,1,Transport
43,2024-01-24,75,1,Shopping
44,2024-01-24,30,1,Other Expense
45,2024-01-24,45,1,Housing
46,2024-01-26,180,1,Entertainment
47,2024-01-27,18,1,Healthcare
48,2024-01-28,4050,0,Salary
49,2024-01-28,12,1,Transport
50,2024-01-28,22,1,Shopping
51,2024-01-28,650,1,Other Expense
52,2024-01-29,45,1,Housing
53,2024-01-29,60,1,Entertainment
54,2024-01-29,22,1,Healthcare
55,2024-01-30,75,1,Food
56,2024-01-31,12,1,Transport
57,2024-01-31,120,1,Shopping
58,2024-02-01,2900,0,Bonus
59,2024-02-01,75,1,Housing
60,2024-02-02,400,1,Entertainment
61,2024-02-02,650,1,Healthcare
62,2024-02-03,75,1,Food
63,2024-02-03,90,1,Transport
64,2024-02-04,1320,1,Shopping
65,2024-02-05,250,1,Other Expense
66,2024-02-06,12,1,Housing
67,2024-02-07,400,1,Entertainment
68,2024-02-08,45,1,Healthcare
69,2024-02-09,12,1,Food
70,2024-02-10,22,1,Transport
71,2024-02-10,30,1,Shopping
72,2024-02-10,60,1,Other Expense
73,2024-02-11,180,1,Housing
74,2024-02-11,22,1,Entertainment
75,2024-02-12,1215,1,Healthcare
76,2024-02-12,400,1,Food
77,2024-02-12,30,1,Transport
78,2024-02-13,15,1,Shopping
79,2024-02-14,650,1,Other Expense
80,2024-02-15,2550,0,Other Income
81,2024-02-15,60,1,Entertainment
82,2024-02-16,8,1,Healthcare
83,2024-02-16,120,1,Food
84,2024-02-16,75,1,Transport
85,2024-02-17,650,1,Shopping
86,2024-02-17,75,1,Other Expense
87,2024-02-18,400,1,Housing
88,2024-02-18,8,1,Entertainment
89,2024-02-19,8,1,Healthcare
90,2024-02-19,8,1,Food
91,2024-02-20,75,1,Transport
92,2024-02-21,15,1,Shopping
93,2024-02-22,75,1,Other Expense
94,2024-02-22,18,1,Housing
95,2024-02-23,180,1,Entertainment
96,2024-02-23,22,1,Healthcare
97,2024-02-25,120,1,Food
98,2024-02-25,12,1,Transport
99,2024-02-25,480,1,Shopping
100,2024-02-26,75,1,Other Expense
101,2024-02-26,18,1,Housing
102,2024-02-27,120,1,Entertainment
103,2024-02-27,180,1,Healthcare
104,2024-02-28,4500,0,Other Income
105,2024-02-28,860,1,Transport
106,2024-02-29,180,1,Shopping
107,2024-02-29,120,1,Other Expense
108,2024-02-29,45,1,Housing
109,2024-03-01,2850,0,Bonus
110,2024-03-01,18,1,Healthcare
111,2024-03-01,75,1,Food
112,2024-03-02,90,1,Transport
113,2024-03-02,90,1,Shopping
114,2024-03-03,180,1,Other Expense
115,2024-03-03,18,1,Housing
116,2024-03-04,8,1,Entertainment
117,2024-03-04,180,1,Healthcare
